rank	word	korean	tier
1665	antigua	오래되다, 옛날의	Top1001-2000
1666	asesinato	살인	Top1001-2000
1667	aspecto	측면, 외모	Top1001-2000
1668	cierta	어떤, 확실한	Top1001-2000
1669	cocina	부엌, 요리	Top1001-2000
1670	comité	위원회	Top1001-2000
1671	conflicto	갈등, 분쟁	Top1001-2000
1672	consecuencia	결과, 결말	Top1001-2000
1673	correcto	맞는, 올바른	Top1001-2000
1674	dulce	달콤한, 사탕	Top1001-2000
1675	entiende	이해하다	Top1001-2000
1676	errores	실수들, 오류들	Top1001-2000
1677	explica	설명하다	Top1001-2000
1678	física	물리학, 신체의	Top1001-2000
1679	impuestos	세금	Top1001-2000
1680	inmediatamente	즉시, 당장	Top1001-2000
1681	jueves	목요일	Top1001-2000
1682	medicina	의학, 약	Top1001-2000
1683	movimientos	움직임, 운동	Top1001-2000
1684	mío	나의 것	Top1001-2000
1685	necesidades	필요, 욕구	Top1001-2000
1687	novela	소설	Top1001-2000
1688	objetivos	목표들, 객관적인	Top1001-2000
1689	oh	오	Top1001-2000
1690	pa	~을 위해 (para의 구어체)	Top1001-2000
1691	parecía	~처럼 보였다	Top1001-2000
1692	pasan	그들이 지나간다	Top1001-2000
1694	presentación	발표, 소개	Top1001-2000
1695	privada	사적인	Top1001-2000
1696	profesores	교사, 교수들	Top1001-2000
1697	puente	다리	Top1001-2000
1698	reales	진짜의, 왕의	Top1001-2000
1699	reconocimiento	인정, 인식	Top1001-2000
1700	regreso	귀환, 돌아옴	Top1001-2000
1701	representantes	대표자들	Top1001-2000
1703	subir	오르다, 올리다	Top1001-2000
1704	tenia	가지고 있었다	Top1001-2000
1705	terminó	끝났다	Top1001-2000
1706	tren	기차, 열차	Top1001-2000
1707	utilizar	사용하다, 이용하다	Top1001-2000
1708	verdadera	진짜의, 진실한	Top1001-2000
1709	víctimas	희생자들	Top1001-2000
1710	últimas	마지막의, 최근의	Top1001-2000
1711	abierta	열린	Top1001-2000
1713	altos	높은, 키 큰	Top1001-2000
1715	beneficios	이익, 혜택	Top1001-2000
1716	categoría	범주, 카테고리	Top1001-2000
1717	claramente	분명히, 명확하게	Top1001-2000
1718	concurso	대회, 경연, 콘테스트	Top1001-2000
1719	consecuencias	결과, 후폭풍	Top1001-2000
1720	creado	만들어진, 창조된	Top1001-2000
1721	decreto	법령, 포고	Top1001-2000
1722	dejan	그들은 내버려두다	Top1001-2000
1724	ejecutivo	행정의, 임원	Top1001-2000
1725	encontrado	발견된, 찾은	Top1001-2000
1727	estrategia	전략	Top1001-2000
1728	eventos	사건, 이벤트	Top1001-2000
1730	generalmente	일반적으로	Top1001-2000
1731	gobiernos	정부들	Top1001-2000
1732	hacerse	되다, 자기를 만들다	Top1001-2000
1733	iii	3세, 3 (로마 숫자)	Top1001-2000
1734	india	인도	Top1001-2000
1735	jaja	ㅋㅋ (웃음 의성어)	Top1001-2000
1736	latina	라틴의 (여성형)	Top1001-2000
1737	llegan	그들은 도착한다	Top1001-2000
1738	municipio	시, 지방자치단체	Top1001-2000
1739	patria	조국, 모국	Top1001-2000
1740	penal	형법의, 형사의	Top1001-2000
1741	pensamiento	생각, 사고	Top1001-2000
1742	periodista	기자, 저널리스트	Top1001-2000
1743	personales	개인적인	Top1001-2000
1744	ponen	그들이 놓는다	Top1001-2000
1745	pregunto	나는 묻다	Top1001-2000
1746	prisión	감옥, 교도소	Top1001-2000
1747	realizado	수행된, 실현된	Top1001-2000
1748	refiere	언급한다	Top1001-2000
1749	santos	성인들, 거룩한	Top1001-2000
1750	sentimientos	감정들, 느낌들	Top1001-2000
1751	tomando	잡고 있는, 마시고 있는	Top1001-2000
1752	accidente	사고	Top1001-2000
1753	actualidad	현재, 현 시점	Top1001-2000
1754	alimentos	음식, 식품	Top1001-2000
1755	aproximadamente	대략, 약	Top1001-2000
1756	autores	저자들, 작가들	Top1001-2000
1757	avión	비행기	Top1001-2000
1758	bandera	깃발, 국기	Top1001-2000
1759	biblioteca	도서관	Top1001-2000
1760	campos	들판, 분야	Top1001-2000
1762	colores	색깔들	Top1001-2000
1763	costo	비용, 원가	Top1001-2000
1764	dejando	두고 있는, 떠나고 있는	Top1001-2000
1766	delito	범죄	Top1001-2000
1767	deporte	스포츠	Top1001-2000
1768	disco	디스크, 음반	Top1001-2000
1769	entrega	배달, 인도	Top1001-2000
1770	escritor	작가, 저자	Top1001-2000
1771	etapa	단계, 시기	Top1001-2000
1772	funcionarios	공무원들	Top1001-2000
1774	iniciativa	주도권, 발의	Top1001-2000
1775	jugando	놀고 있는	Top1001-2000
1776	kilómetros	킬로미터	Top1001-2000
1777	liga	리그, 고무줄	Top1001-2000
1778	llegaron	그들이 도착했다	Top1001-2000
1779	llegue	도착하다	Top1001-2000
1780	madera	목재, 나무	Top1001-2000
1781	materiales	재료들, 물질적인	Top1001-2000
1783	minuto	분, 잠깐	Top1001-2000
1784	ocasión	기회, 경우	Top1001-2000
1785	poca	적은, 조금의	Top1001-2000
1786	precisamente	정확히	Top1001-2000
1787	puestos	자리들, 직위들, 좌판	Top1001-2000
1789	resolución	결의, 해결	Top1001-2000
1790	respuestas	답들, 대답들	Top1001-2000
1791	rodríguez	로드리게스 (성씨)	Top1001-2000
1792	ruta	경로, 길	Top1001-2000
1794	suele	보통 ~하다	Top1001-2000
1795	tendencia	경향, 추세	Top1001-2000
1796	toca	만지다, 연주하다	Top1001-2000
1797	tradicional	전통적인	Top1001-2000
1798	acaso	혹시, 아마	Top1001-2000
1799	alumnos	학생들	Top1001-2000
1800	aquella	저것	Top1001-2000
1801	audiencia	청중, 심리	Top1001-2000
1802	bases	기반, 근거들	Top1001-2000
1803	bienes	재산, 물품	Top1001-2000
1804	cargos	혐의, 직책	Top1001-2000
1805	comienzo	시작	Top1001-2000
1806	condición	조건, 상태	Top1001-2000
1807	crimen	범죄	Top1001-2000
1808	cuantos	얼마나 많은	Top1001-2000
1809	des	너는 주다	Top1001-2000
1810	diego	디에고	Top1001-2000
1811	disponible	사용 가능한	Top1001-2000
1812	drogas	마약, 약물	Top1001-2000
1813	extranjero	외국인, 외국의	Top1001-2000
1814	formar	형성하다, 만들다	Top1001-2000
1815	frase	문장, 문구	Top1001-2000
1816	global	전 세계의, 글로벌	Top1001-2000
1817	gonzález	곤살레스 (성씨)	Top1001-2000
1818	impacto	충격, 영향	Top1001-2000
1819	inteligente	똑똑한, 지능적인	Top1001-2000
1820	intentar	시도하다	Top1001-2000
1821	italia	이탈리아	Top1001-2000
1822	laboral	노동의, 근로의	Top1001-2000
1823	motivos	이유, 동기	Top1001-2000
1824	móvil	휴대폰, 움직이다	Top1001-2000
1825	presentar	소개하다, 제출하다	Top1001-2000
1826	presidencia	대통령직, 의장직	Top1001-2000
1827	publicidad	광고, 홍보	Top1001-2000
1829	resolver	해결하다	Top1001-2000
1830	seguidores	팔로워, 추종자들	Top1001-2000
1831	sitios	장소들, 사이트들	Top1001-2000
1832	trato	거래, 대하다	Top1001-2000
1833	venga	오다, 자	Top1001-2000
1834	youtube	유튜브	Top1001-2000
1835	alcanzar	도달하다, 달성하다	Top1001-2000
1836	animal	동물	Top1001-2000
1837	aparte	따로, 별도로	Top1001-2000
1838	bolivia	볼리비아	Top1001-2000
1839	ciudadano	시민	Top1001-2000
1840	colaboración	협력, 협동	Top1001-2000
1841	compromiso	약속, 약혼, 헌신	Top1001-2000
1842	conferencia	회의, 강연	Top1001-2000
1844	cáncer	암	Top1001-2000
1846	deuda	빚	Top1001-2000
1847	división	분할, 부서, 나눗셈	Top1001-2000
1848	enemigo	적	Top1001-2000
1850	explicar	설명하다	Top1001-2000
1851	foro	포럼, 광장	Top1001-2000
1852	frecuencia	빈도, 주파수	Top1001-2000
1853	gastos	지출, 비용	Top1001-2000
1855	herramientas	도구들	Top1001-2000
1856	humanidad	인류	Top1001-2000
1857	humor	유머, 기분	Top1001-2000
1858	institución	기관, 제도	Top1001-2000
1859	interesa	흥미를 끌다	Top1001-2000
1860	km	킬로미터	Top1001-2000
1861	letras	글자들, 가사	Top1001-2000
1862	lima	리마 (페루 수도)	Top1001-2000
1864	llegada	도착	Top1001-2000
1865	merece	받을 만하다	Top1001-2000
1866	moral	도덕, 도덕적인, 사기	Top1001-2000
1867	museo	박물관	Top1001-2000
1868	médicos	의사들, 의료의	Top1001-2000
1869	mía	나의 것	Top1001-2000
1870	normas	규칙, 규범	Top1001-2000
1871	notas	메모들, 성적	Top1001-2000
1872	palacio	궁전	Top1001-2000
1873	perdió	그는 잃었다	Top1001-2000
1874	pidió	그가 요청했다, 부탁했다	Top1001-2000
1875	plantas	식물, 층	Top1001-2000
1876	plataforma	플랫폼	Top1001-2000
1877	publicó	출판했다, 발표했다	Top1001-2000
1879	religión	종교	Top1001-2000
1880	rápidamente	빠르게, 신속하게	Top1001-2000
1881	sectores	부문, 분야들	Top1001-2000
1883	tuyo	너의 것	Top1001-2000
1885	agentes	요원들, 대리인들	Top1001-2000
1886	as	에이스	Top1001-2000
1888	breve	짧은, 간단한	Top1001-2000
1889	capítulo	장, 챕터	Top1001-2000
1890	clientes	고객들	Top1001-2000
1891	conocida	알려진, 지인	Top1001-2000
1893	decidió	결정했다	Top1001-2000
1894	defender	방어하다, 옹호하다	Top1001-2000
1895	eeuu	미국 (약어, EE.UU.)	Top1001-2000
1896	estrella	별, 스타	Top1001-2000
1897	evidencia	증거	Top1001-2000
1898	firma	서명, 회사	Top1001-2000
1899	for	for (영어 차용)	Top1001-2000
1900	guardia	경비, 보초	Top1001-2000
1901	hubiese	그가 있었다면	Top1001-2000
1902	juventud	청춘, 젊음	Top1001-2000
1903	llaman	그들은 부르다, 전화하다	Top1001-2000
1906	navidad	크리스마스	Top1001-2000
1907	new	뉴	Top1001-2000
1908	on	온	Top1001-2000
1909	oportunidades	기회들	Top1001-2000
1910	perros	개들	Top1001-2000
1911	probable	가능성 있다, 유력하다	Top1001-2000
1912	procesos	과정, 절차들	Top1001-2000
1913	produce	생산하다 (3인칭 단수)	Top1001-2000
1914	recibe	받다, 수령하다	Top1001-2000
1915	responder	대답하다, 응답하다	Top1001-2000
1916	sencillo	간단한, 단순한	Top1001-2000
1917	sevilla	세비야	Top1001-2000
1918	señal	신호, 표시	Top1001-2000
1919	sigo	나는 계속하다, 따르다	Top1001-2000
1920	siguiendo	따라가고 있는	Top1001-2000
1921	superficie	표면	Top1001-2000
1924	universo	우주	Top1001-2000
1925	valle	계곡, 골짜기	Top1001-2000
1926	viento	바람	Top1001-2000
1927	vuelto	돌아온	Top1001-2000
1928	arma	무기, 총	Top1001-2000
1929	cartas	편지들, 카드들	Top1001-2000
1930	colección	수집, 컬렉션	Top1001-2000
1931	comunes	공통의, 흔한	Top1001-2000
1932	conversación	대화	Top1001-2000
1933	directa	직접적인	Top1001-2000
1934	escenario	무대, 시나리오	Top1001-2000
1935	estuve	있었다	Top1001-2000
1936	exposición	전시, 노출	Top1001-2000
1939	huevos	달걀들	Top1001-2000
1940	igualdad	평등, 동등	Top1001-2000
1941	invierno	겨울	Top1001-2000
1942	lados	측면들, 옆들	Top1001-2000
1943	llevado	가져간, 입은	Top1001-2000
1944	luchar	싸우다, 투쟁하다	Top1001-2000
1945	mirando	보면서	Top1001-2000
1946	moda	유행, 패션	Top1001-2000
1947	método	방법, 방식	Top1001-2000
1948	normalmente	보통, 일반적으로	Top1001-2000
1949	ocurrió	일어났다, 발생했다	Top1001-2000
1952	pasos	걸음들, 단계들	Top1001-2000
1953	quede	남다, 머물다	Top1001-2000
1954	regiones	지역들	Top1001-2000
1955	roja	빨간	Top1001-2000
1956	salvador	엘살바도르, 구세주	Top1001-2000
1957	seguramente	분명히, 아마도	Top1001-2000
1958	sentencia	판결, 문장	Top1001-2000
1959	sesión	회기, 세션	Top1001-2000
1960	software	소프트웨어	Top1001-2000
1961	sonido	소리, 음향	Top1001-2000
1962	sorpresa	놀라움, 서프라이즈	Top1001-2000
1963	sucede	일어나다, 발생하다	Top1001-2000
1965	tomado	잡힌, 마신	Top1001-2000
1966	utiliza	사용하다 (3인칭 단수)	Top1001-2000
1967	alberto	알베르토 (인명)	Top1001-2000
1968	asimismo	또한, 마찬가지로	Top1001-2000
1970	brazos	팔들	Top1001-2000
1971	cambia	바뀌다, 바꾸다	Top1001-2000
1972	cerebro	뇌, 두뇌	Top1001-2000
1973	ciertas	확실한, 어떤	Top1001-2000
1974	clima	기후, 날씨	Top1001-2000
1975	comportamiento	행동	Top1001-2000
1976	corriente	흐름, 보통의	Top1001-2000
1977	corta	자르다, 짧다	Top1001-2000
1978	debía	그는 ~해야 했다	Top1001-2000
1979	discusión	논쟁, 토론	Top1001-2000
1980	do	도	Top1001-2000
1981	dominio	영역, 도메인, 지배	Top1001-2000
1982	encontró	그가 찾았다, 만났다	Top1001-2000
1983	escala	규모, 저울, 경유지	Top1001-2000
1985	espalda	등, 뒤	Top1001-2000
1986	extranjeros	외국의, 외국인들	Top1001-2000
1987	gracia	은총, 우아함	Top1001-2000
1988	intervención	개입, 중재	Top1001-2000
1989	libres	자유로운	Top1001-2000
1990	montón	많음, 더미	Top1001-2000
1992	pasada	지나간, 지난	Top1001-2000
1995	propuestas	제안들	Top1001-2000
1996	sensación	느낌, 감각	Top1001-2000
1997	show	쇼, 공연	Top1001-2000
1998	similares	유사한, 비슷한	Top1001-2000
1999	terrible	끔찍한, 무서운	Top1001-2000
2000	vea	보다	Top1001-2000
2001	vergüenza	부끄러움, 수치	Top2001-3000
2002	víctima	피해자, 희생자	Top2001-3000
2003	órdenes	명령들, 주문들	Top2001-3000
2004	acabar	끝내다, 마치다	Top2001-3000
2005	agencia	기관, 대행사	Top2001-3000
2006	anunció	발표했다, 알렸다	Top2001-3000
2007	apoyar	지지하다, 받치다	Top2001-3000
2008	asistencia	참석, 지원	Top2001-3000
2009	ayuntamiento	시청, 시 의회	Top2001-3000
2010	bajar	내리다, 내려가다	Top2001-3000
2011	cabe	들어맞다, 가능하다	Top2001-3000
2012	cae	떨어지다, 쓰러지다	Top2001-3000
2013	candidatos	후보자들	Top2001-3000
2014	comandante	사령관, 지휘관	Top2001-3000
2015	constante	지속적인, 일정한	Top2001-3000
2016	contiene	포함하다 (3인칭 단수)	Top2001-3000
2017	convirtió	변했다, 바꾸었다	Top2001-3000
2018	crea	믿는다, 만든다	Top2001-3000
2019	cuerpos	몸들, 시체들	Top2001-3000
2020	den	그들이 주기를	Top2001-3000
2021	diferencias	차이들	Top2001-3000
2022	ejemplos	예시들	Top2001-3000
2023	euros	유로 (화폐)	Top2001-3000
2024	examen	시험, 검사	Top2001-3000
2025	felipe	펠리페 (인명)	Top2001-3000
2026	fiestas	파티들, 축제들	Top2001-3000
2027	fundamental	근본적인, 기본적인	Top2001-3000
2029	impuesto	세금	Top2001-3000
2030	indica	가리킨다, 나타낸다	Top2001-3000
2031	industrial	산업의, 공업의	Top2001-3000
2032	juega	논다, 경기한다	Top2001-3000
2033	llamó	그가 불렀다, 전화했다	Top2001-3000
2034	malas	나쁜	Top2001-3000
2035	mapa	지도	Top2001-3000
2036	masa	반죽, 덩어리	Top2001-3000
2037	mentira	거짓말	Top2001-3000
2040	nuevamente	다시	Top2001-3000
2041	periódico	신문	Top2001-3000
2042	placer	즐거움, 기쁨	Top2001-3000
2043	podrán	그들은 할 수 있을 것이다	Top2001-3000
2044	posibles	가능한	Top2001-3000
2045	premios	상, 상금들	Top2001-3000
2046	representación	대표, 표현	Top2001-3000
2047	requiere	요구하다, 필요로 하다	Top2001-3000
2048	resumen	요약, 개요	Top2001-3000
2050	seas	이다	Top2001-3000
2051	seguido	따라간, 자주	Top2001-3000
2052	sueños	꿈들	Top2001-3000
2053	titular	소유자, 표제	Top2001-3000
2055	unidades	단위, 부대	Top2001-3000
2056	vayan	그들이 가다	Top2001-3000
2057	vender	팔다	Top2001-3000
2058	verlo	그것을 보다	Top2001-3000
2062	you	너	Top2001-3000
2063	actuar	행동하다, 연기하다	Top2001-3000
2064	alcance	범위, 도달, 영향력	Top2001-3000
2065	anual	연간의, 매년의	Top2001-3000
2066	archivo	파일, 기록	Top2001-3000
2067	aumentar	증가시키다, 늘리다	Top2001-3000
2068	beneficio	이익, 혜택	Top2001-3000
2070	cerrar	닫다	Top2001-3000
2071	ciertos	어떤, 확실한	Top2001-3000
2072	comerciales	상업적인	Top2001-3000
2073	continuar	계속하다	Top2001-3000
2074	convierte	변한다, 바꾼다	Top2001-3000
2075	cuello	목	Top2001-3000
2076	definitivamente	확실히, 분명히	Top2001-3000
2077	dictadura	독재	Top2001-3000
2078	década	10년, 십 년간	Top2001-3000
2079	establecer	설립하다, 확립하다	Top2001-3000
2080	famoso	유명하다	Top2001-3000
2081	gato	고양이	Top2001-3000
2082	gay	게이, 동성애자	Top2001-3000
2083	lectura	독서	Top2001-3000
2084	mantiene	유지한다	Top2001-3000
2085	martín	마르틴 (인명)	Top2001-3000
2086	michael	마이클	Top2001-3000
2087	niñas	여자아이들	Top2001-3000
2089	porqué	이유, 왜	Top2001-3000
2090	posibilidades	가능성들	Top2001-3000
2091	príncipe	왕자	Top2001-3000
2092	pérez	페레스 (성씨)	Top2001-3000
2093	quedado	남은, 머문	Top2001-3000
2094	realiza	수행하다 (3인칭 단수)	Top2001-3000
2095	reyes	왕들	Top2001-3000
2096	tiro	총격, 사격	Top2001-3000
2097	torno	주위, 선반 (en torno a: ~주위에)	Top2001-3000
2098	usan	그들은 사용한다	Top2001-3000
2099	abre	열다	Top2001-3000
2100	abuela	할머니	Top2001-3000
2101	ahi	거기	Top2001-3000
2102	cambiado	바뀐, 변한	Top2001-3000
2103	carretera	도로, 고속도로	Top2001-3000
2104	caída	추락, 떨어짐	Top2001-3000
2105	cola	꼬리, 줄, 콜라	Top2001-3000
2106	continúa	계속하다	Top2001-3000
2107	convertido	변환되다, 바뀌다	Top2001-3000
2108	cristo	그리스도	Top2001-3000
2109	daba	주었다	Top2001-3000
2111	disposición	배치, 처분	Top2001-3000
2112	dueño	주인	Top2001-3000
2113	editorial	출판사, 사설	Top2001-3000
2114	espacios	공간들	Top2001-3000
2115	fernández	페르난데스 (성씨)	Top2001-3000
2116	hagas	하다	Top2001-3000
2117	inglaterra	영국	Top2001-3000
2118	labor	노동, 일	Top2001-3000
2119	letra	글자, 가사, 편지	Top2001-3000
2120	lluvia	비	Top2001-3000
2121	malos	나쁜	Top2001-3000
2122	marido	남편	Top2001-3000
2123	modelos	모델들, 모형들	Top2001-3000
2124	mostrar	보여주다	Top2001-3000
2125	oeste	서쪽	Top2001-3000
2126	opiniones	의견들	Top2001-3000
2127	periodistas	기자들	Top2001-3000
2128	piensan	생각하다	Top2001-3000
2129	poderes	힘들, 권력들	Top2001-3000
2130	prácticas	실천, 관행들	Top2001-3000
2131	puedas	네가 할 수 있다	Top2001-3000
2132	sentimiento	감정, 느낌	Top2001-3000
2133	seres	존재들	Top2001-3000
2134	situaciones	상황들	Top2001-3000
2135	suma	합계, 총액	Top2001-3000
2136	tasa	비율, 세율	Top2001-3000
2137	tenes	너는 가지고 있다 (아르헨티나식)	Top2001-3000
2138	tocar	만지다, 연주하다	Top2001-3000
2139	tranquilo	조용한, 침착한	Top2001-3000
2140	universal	보편적인, 우주의	Top2001-3000
2141	usado	사용된, 중고의	Top2001-3000
2142	viejos	늙은, 오래된	Top2001-3000
2143	vivienda	주거, 주택	Top2001-3000
2144	viviendo	살고 있는	Top2001-3000
2145	absolutamente	절대적으로, 완전히	Top2001-3000
2146	alegría	기쁨, 즐거움	Top2001-3000
2147	amistad	우정	Top2001-3000
2148	anteriormente	이전에	Top2001-3000
2149	aparecen	나타나다 (3인칭 복수)	Top2001-3000
2150	buscan	그들은 찾는다	Top2001-3000
2151	castro	카스트로 (성씨)	Top2001-3000
2153	cliente	고객, 손님	Top2001-3000
2155	considerado	사려 깊은, 고려된	Top2001-3000
2156	correr	달리다	Top2001-3000
2157	culturales	문화적인 (복수)	Top2001-3000
2158	córdoba	코르도바 (지명)	Top2001-3000
2160	descripción	묘사, 설명	Top2001-3000
2161	diría	말할 것이다	Top2001-3000
2162	edificios	건물들	Top2001-3000
2163	elegido	선택된	Top2001-3000
2164	encontré	발견했다, 찾았다	Top2001-3000
2165	evolución	진화, 발전	Top2001-3000
2166	fuese	이었더라면	Top2001-3000
2169	iglesias	교회들	Top2001-3000
2170	indígenas	원주민, 토착의	Top2001-3000
2171	infantil	어린이의, 유치한	Top2001-3000
2172	ingreso	수입, 입학	Top2001-3000
2173	investigaciones	연구, 조사들	Top2001-3000
2174	mexicanos	멕시코 사람들, 멕시코의	Top2001-3000
2175	moneda	동전, 화폐	Top2001-3000
2176	motor	모터, 엔진	Top2001-3000
2177	nació	태어났다	Top2001-3000
2178	negros	검은, 흑인들	Top2001-3000
2179	occidental	서쪽의, 서양의	Top2001-3000
2180	panamá	파나마	Top2001-3000
2181	permanente	영구적인, 상설의	Top2001-3000
2182	populares	대중적인, 인기 있는	Top2001-3000
2183	prácticamente	사실상, 거의	Top2001-3000
2184	punta	끝, 꼭대기, 첨단	Top2001-3000
2185	realizó	수행했다, 실현했다	Top2001-3000
2186	salga	나가다	Top2001-3000
2187	sub	하위의, 부-	Top2001-3000
2188	suelen	보통 ~하다 (3인칭 복수)	Top2001-3000
2189	traducción	번역	Top2001-3000
2191	universidades	대학교들	Top2001-3000
2193	actuales	현재의, 현행의	Top2001-3000
2194	adentro	안에, 내부에	Top2001-3000
2196	caliente	뜨거운, 더운	Top2001-3000
2197	caracas	카라카스 (베네수엘라 수도)	Top2001-3000
2198	cariño	자기야, 애정	Top2001-3000
2199	chino	중국인, 중국의	Top2001-3000
2200	consejos	조언들	Top2001-3000
2201	constitucional	헌법의, 헌법적인	Top2001-3000
2202	controlar	통제하다, 조절하다	Top2001-3000
2203	coronel	대령	Top2001-3000
2204	diputado	의원, 대의원	Top2001-3000
2205	disfrutar	즐기다, 만끽하다	Top2001-3000
2206	enfermedades	질병들	Top2001-3000
2207	enrique	엔리케 (인명)	Top2001-3000
2208	entero	전체의, 완전하다	Top2001-3000
2209	esperaba	기다리고 있었다	Top2001-3000
2210	excepto	~을 제외하고	Top2001-3000
2211	experiencias	경험들	Top2001-3000
2212	filosofía	철학	Top2001-3000
2213	guatemala	과테말라	Top2001-3000
2214	hiciste	하다, 만들다	Top2001-3000
2215	james	제임스	Top2001-3000
2216	licencia	면허, 허가	Top2001-3000
2218	parlamento	의회, 국회	Top2001-3000
2219	pecho	가슴	Top2001-3000
2220	pelea	싸움, 다툼	Top2001-3000
2222	perfectamente	완벽하게	Top2001-3000
2223	proteger	보호하다	Top2001-3000
2224	publicaciones	출판물, 발행물들	Top2001-3000
2225	reducir	줄이다, 감소시키다	Top2001-3000
2226	salen	그들은 나간다	Top2001-3000
2227	secundaria	중등의, 고등학교	Top2001-3000
2228	toque	터치, 접촉	Top2001-3000
2229	tío	삼촌, 녀석	Top2001-3000
2230	volumen	부피, 볼륨, 권	Top2001-3000
2231	ámbito	영역, 범위	Top2001-3000
2232	alianza	동맹, 결혼반지	Top2001-3000
2233	amenaza	위협, 협박	Top2001-3000
2234	art	조항, 예술 (약어)	Top2001-3000
2235	artes	예술, 기술들	Top2001-3000
2236	campeón	챔피언	Top2001-3000
2237	castillo	성	Top2001-3000
2238	cataluña	카탈루냐	Top2001-3000
2239	civiles	민간인들	Top2001-3000
2240	cm	센티미터 (단위)	Top2001-3000
2241	colectivo	집단적인, 단체	Top2001-3000
2242	complejo	복잡한, 단지	Top2001-3000
2243	conexión	연결, 접속	Top2001-3000
2244	consiste	~으로 이루어지다 (3인칭 단수)	Top2001-3000
2245	decirle	그에게 말하다	Top2001-3000
2246	divertido	재미있는, 즐거운	Top2001-3000
2247	económicos	경제적인 (남성 복수형)	Top2001-3000
2248	encontramos	우리는 찾았다, 만났다	Top2001-3000
2249	escucha	듣다	Top2001-3000
2250	fotografía	사진	Top2001-3000
2251	fueran	그들이 갔다면, 이었다면	Top2001-3000
2252	intenta	시도하다	Top2001-3000
2253	leyendo	읽고 있는	Top2001-3000
2255	loca	미친	Top2001-3000
2256	límite	한계, 경계	Top2001-3000
2257	mezcla	혼합, 섞음	Top2001-3000
2258	objetos	물건들	Top2001-3000
2259	parar	멈추다, 서다	Top2001-3000
2260	paul	폴	Top2001-3000
2261	perfecta	완벽한	Top2001-3000
2262	poesía	시, 시가	Top2001-3000
2263	policías	경찰들	Top2001-3000
2265	rafael	라파엘 (인명)	Top2001-3000
2266	raza	인종, 품종	Top2001-3000
2267	reacción	반응, 반작용	Top2001-3000
2268	representante	대표, 대리인	Top2001-3000
2269	salón	거실, 홀	Top2001-3000
2271	siga	계속하다, 따르다	Top2001-3000
2272	tendrán	그들은 가질 것이다	Top2001-3000
2273	trae	가져오다	Top2001-3000
2274	técnicas	기술, 기법들	Top2001-3000
2275	vieron	그들은 보았다	Top2001-3000
2276	áfrica	아프리카	Top2001-3000
2277	árbol	나무	Top2001-3000
2278	árboles	나무들	Top2001-3000
2279	útil	유용하다	Top2001-3000
2280	amplia	넓은, 광범위한 (여성형)	Top2001-3000
2281	autos	자동차들	Top2001-3000
2282	bancos	은행들, 벤치들	Top2001-3000
2283	bosque	숲	Top2001-3000
2284	causas	원인, 이유들	Top2001-3000
2285	cuestiones	문제, 질문들	Top2001-3000
2286	dejen	그들이 내버려두다	Top2001-3000
2287	denuncia	고발, 신고	Top2001-3000
2288	desarrollar	발전시키다, 개발하다	Top2001-3000
2289	económicas	경제적인 (여성 복수형)	Top2001-3000
2291	europeo	유럽의 (남성형)	Top2001-3000
2292	factores	요인, 요소들	Top2001-3000
2293	fase	단계	Top2001-3000
2294	histórica	역사적인 (여성형)	Top2001-3000
2295	ideal	이상적인	Top2001-3000
2296	ilegal	불법의	Top2001-3000
2297	imperio	제국	Top2001-3000
2298	islas	섬들	Top2001-3000
2299	israel	이스라엘	Top2001-3000
2300	jornada	일정, 하루 (작업)	Top2001-3000
2301	límites	한계, 경계	Top2001-3000
2302	maneras	방식들, 예의	Top2001-3000
2303	nacimiento	출생, 탄생	Top2001-3000
2304	participantes	참가자들	Top2001-3000
2305	patrimonio	유산, 재산	Top2001-3000
2306	pertenece	속하다	Top2001-3000
2307	pese	~에도 불구하고 (pese a)	Top2001-3000
2309	piezas	조각, 부품	Top2001-3000
2310	presentado	제시된, 소개된	Top2001-3000
2311	primavera	봄	Top2001-3000
2312	provincias	주, 도들	Top2001-3000
2313	recientemente	최근에	Top2001-3000
2314	reconocer	인정하다, 알아보다	Top2001-3000
2315	romper	부수다, 깨다	Top2001-3000
2316	rostro	얼굴	Top2001-3000
2317	ruido	소음, 시끄러운 소리	Top2001-3000
2318	sal	소금, 나가라	Top2001-3000
2319	sepa	알다	Top2001-3000
2320	significado	의미, 뜻	Top2001-3000
2321	tomo	나는 잡다, 마시다	Top2001-3000
2323	virgen	처녀, 동정녀	Top2001-3000
2324	vosotros	너희들	Top2001-3000
2325	actuación	공연, 연기, 행동	Top2001-3000
2326	alcohol	알코올, 술	Top2001-3000
2327	altas	높은 (여성 복수형)	Top2001-3000
2329	apertura	개방, 개막	Top2001-3000
2330	caballo	말	Top2001-3000
2331	cierre	폐쇄, 잠금, 지퍼	Top2001-3000
2332	circunstancias	상황, 사정	Top2001-3000
2333	comenzar	시작하다	Top2001-3000
2334	conocidos	알려진, 지인들	Top2001-3000
2335	contenidos	내용물, 콘텐츠들	Top2001-3000
2336	definición	정의, 해상도	Top2001-3000
2337	desastre	재난, 엉망	Top2001-3000
2338	décadas	수십 년	Top2001-3000
2340	emergencia	비상, 응급	Top2001-3000
2341	enlace	링크, 연결	Top2001-3000
2343	firme	단단한, 굳건한	Top2001-3000
2344	fácilmente	쉽게	Top2001-3000
2345	guía	안내, 가이드	Top2001-3000
