row_id	course	dialogue_id	speaker	turn	id_target	id_ko	id_roman	id_note	ms_target	ms_ko	ms_roman	ms_note
l3_d15_t14	3	대화15	B	14	Sabtu depan? Gede Pangrango.	다음 토? Gede Pangrango.	삽뚜 드빤? 그데 빵랑오.		Sabtu depan? Gunung Tahan.	다음 토 Tahan.	삽뚜 드빤? 구눙 따한.	Gunung Tahan = 말레이 (Gede Pangrango는 자바)
l5_d25_t01	5	대화25	A	1	Aku join klub pencak silat baru.	pencak silat 클럽 가입.	아꾸 조인 끌룹 쁜짝 실랏 바루.	pencak silat = 인니 전통 무술	Saya join kelab silat baru.	silat 클럽 가입.	사야 조인 끌랍 실랏 바루.	silat = 말레이/인니 공통 (UNESCO 무형유산), kelab = 클럽 (말레이 철자, klub은 양쪽)
l5_d25_t02	5	대화25	B	2	Wah, bela diri tradisional.	전통 무술이지.	와, 블라 디리 트라디시오날.	bela diri = 무술	Wah, seni mempertahankan diri tradisional.	전통 무술.	와, 스니 음쁘르따한깐 디리 트라디시오날.	seni mempertahankan diri = 무술 (말레이, bela diri도 양쪽)
l5_d25_t03	5	대화25	A	3	Iya, perguruan Cimande di Bogor.	Cimande 도장 (Bogor).	이야, 쁘르구루안 찌만데 디 보고르.	perguruan = 도장, Cimande = silat 유파	Ya, perguruan Silat Cekak di KL.	Silat Cekak (KL).	야, 쁘르구루안 실랏 쩨짝 디 께엘.	Silat Cekak = 말레이 유파 (Cimande는 자바 인니)
l5_d25_t04	5	대화25	B	4	Ada berapa aliran silat?	유파 몇 개?	아다 브라빠 알리란 실랏?	aliran = 유파	Ada berapa aliran silat?	유파?	아다 브라빠 알리란 실랏?	aliran = 유파
l5_d25_t05	5	대화25	A	5	Ratusan, paling terkenal Cimande, Cikalong, Setia Hati.	수백, 유명 = Cimande/Cikalong/Setia Hati.	라뚜산, 빨링 뜨르끄날 찌만데, 찌깔롱, 스띠아 하띠.		Banyak, paling terkenal Silat Cekak, Gayung Fatani, Lincah.	주요 = Cekak/Gayung Fatani/Lincah.	바냑, 빨링 뜨르끄날 실랏 쩨짝, 가용 파따니, 린짜.	Cekak·Gayung Fatani·Lincah = 말레이 주요 silat 유파
l5_d25_t06	5	대화25	B	6	Latihan apa hari pertama?	첫날 훈련?	라띠한 아빠 하리 쁘르따마?		Latihan apa hari pertama?	첫날?	라띠한 아빠 하리 쁘르따마?	
l5_d25_t07	5	대화25	A	7	Kuda-kuda dasar, jurus 1-3.	kuda-kuda 기본 자세, jurus 1-3.	꾸다 꾸다 다사르, 주루스 사뚜 띠가.	kuda-kuda = 자세 (reduplication), jurus = 형(型)	Kuda-kuda asas, bunga 1-3.	기본 자세, bunga 1-3.	꾸다 꾸다 아사스, 붕아 사뚜 띠가.	kuda-kuda = 자세, bunga = 형 (말레이, jurus은 인니), asas = 기본
l5_d25_t08	5	대화25	B	8	Pakai baju tradisional?	전통복?	빠까이 바주 트라디시오날?		Pakai baju tradisional?	전통복?	빠까이 바주 트라디시오날?	
l5_d25_t09	5	대화25	A	9	Iya, baju silat hitam + sabuk.	검은 silat 복 + 띠.	이야, 바주 실랏 히땀 + 사북.	sabuk = 띠	Ya, baju silat hitam + sampin.	검은 silat 복.	야, 바주 실랏 히땀 + 삼삔.	sampin = 말레이 silat 허리띠 (sabuk은 인니)
l5_d25_t10	5	대화25	B	10	Ada kompetisi nasional?	전국대회?	아다 꼼쁘띠시 나시오날?	kompetisi = 대회	Ada kompetisi nasional?	전국대회?	아다 꼼쁘띠시 나시오날?	kompetisi = 대회
l5_d25_t11	5	대화25	A	11	Iya, PON dan SEA Games.	PON, SEA Games.	이야, 뽄 단 시아 게임스.	PON = Pekan Olahraga Nasional 인니 체전	Ya, SUKMA dan SEA Games.	SUKMA, SEA Games.	야, 숙마 단 시아 게임스.	SUKMA = Sukan Malaysia 말레이 체전 (PON은 인니)
l5_d25_t12	5	대화25	B	12	Mantap, kebanggaan Indonesia!	인니 자랑!	만땁, 끄방가안 인도네시아!	kebanggaan = 자랑	Best, kebanggaan Malaysia!	말레이 자랑!	베스, 끄방가안 말레이시아!	kebanggaan = 자랑
l5_d26_t01	5	대화26	A	1	Tonton bulutangkis Indonesia Open?	Indonesia Open 봐?	논똔 불루땅끼스 인도네시아 오픈?	bulutangkis = 배드민턴	Tonton badminton Malaysia Open?	Malaysia Open 배드민턴?	똔똔 배드민턴 말레이시아 오픈?	badminton = 영어 (말레이, bulutangkis는 인니), Malaysia Open = BWF World Tour Super 1000
l5_d26_t02	5	대화26	B	2	Pasti! Aku tim Indonesia.	꼭! 인니 팀.	빠스띠! 아꾸 띰 인도네시아.	tim = 팀	Mestilah! Saya pasukan Malaysia.	말레이 팀.	메스띨라! 사야 빠수깐 말레이시아.	pasukan = 팀 (말레이, tim은 인니/공통)
l5_d26_t03	5	대화26	A	3	Apriyani Rahayu favorit aku.	Apriyani Rahayu 최애.	아쁘리야니 라하유 파보릿 아꾸.		Pearly Tan kegemaran saya.	Pearly Tan 최애.	뻘리 딴 끄그마란 사야.	Pearly Tan = 말레이 여복 (Apriyani는 인니)
l5_d26_t04	5	대화26	B	4	Iya, gold Tokyo Olympics!	도쿄 올림픽 금!	이야, 골드 도꾜 올림픽!		Ya, pemain Olimpik!	올림픽 선수!	야, 쁘마인 올림삑!	pemain = 선수, Olimpik = 올림픽 (말레이 철자)
l5_d26_t05	5	대화26	A	5	Sama Greysia Polii, partner-nya.	Greysia Polii, 짝꿍.	사마 그레이시아 뽈리, 파트너냐.	partner = 영어	Dengan Thinaah Muralitharan, partner-nya.	Thinaah, 짝꿍.	등안 띠나 무랄리따란, 파트너냐.	Thinaah Muralitharan = 말레이 여복 짝꿍 (Greysia Polii는 인니)
l5_d26_t06	5	대화26	B	6	Sektor putra siapa kuat?	남자부 강자?	섹또르 뿌트라 시아빠 꾸앗?	sektor = 부, putra = 남자	Sektor lelaki siapa kuat?	남자부?	섹또르 를라끼 시아빠 꾸앗?	sektor = 부, lelaki = 남자 (말레이, putra는 인니)
l5_d26_t07	5	대화26	A	7	Ginting, Anthony Sinisuka.	Ginting, Anthony Sinisuka.	긴띵, 안토니 시니수까.		Lee Zii Jia, Aaron Chia.	Lee Zii Jia, Aaron Chia.	리 지 지아, 아론 치아.	Lee Zii Jia·Aaron Chia = 말레이 남단·남복 (Ginting·Anthony는 인니)
l5_d26_t08	5	대화26	B	8	Aku bermain juga di kompleks.	단지에서 나도 쳐.	아꾸 브르마인 주가 디 꼼쁠렉스.	bermain = 놀다	Saya bermain juga di taman.	단지에서 쳐.	사야 브르마인 주가 디 따만.	bermain = 놀다, taman = 단지 (말레이, kompleks는 양쪽)
l5_d26_t09	5	대화26	A	9	Wah, level apa?	레벨?	와, 레블 아빠?		Wah, level apa?	레벨?	와, 레블 아빠?	
l5_d26_t10	5	대화26	B	10	Recreational, tapi semangat.	recreational, 열정.	레크리에이셔널, 따삐 스망앗.	recreational = 영어, semangat = 열정	Recreational, tapi semangat.	recreational, 열정.	레크리에이셔널, 따삐 스망앗.	recreational = 영어, semangat = 열정
l5_d26_t11	5	대화26	A	11	Mau main bareng minggu depan?	다음 주 같이?	마우 마인 바릉 밍구 드빤?		Nak main sama-sama minggu depan?	같이?	낙 마인 사마 사마 밍구 드빤?	
l5_d26_t12	5	대화26	B	12	Boleh! Aku bawa raket extra.	응! 라켓 여분.	볼레! 아꾸 바와 라껫 엑스트라.	raket = 라켓	Boleh! Saya bawa raket extra.	라켓 여분.	볼레! 사야 바와 라껫 엑스트라.	raket = 라켓
